tmk,building_value,land_value,total_value,land_class,n
45061095,100100,870000,970100,RESIDENTIAL,1
45061096,492700,882600,1375300,RESIDENTIAL,1
45061097,425500,852600,1278100,RESIDENTIAL,1
45061098,520100,870000,1390100,RESIDENTIAL,1
45061099,621100,870000,1491100,RESIDENTIAL,1
45061100,500100,870000,1370100,RESIDENTIAL,1
45061101,178400,870000,1048400,RESIDENTIAL,1
45061102,118900,870000,988900,RESIDENTIAL,1
45061103,535200,870000,1405200,RESIDENTIAL,1
45061104,66200,919700,985900,RESIDENTIAL,1
45062001,83200,892100,975300,RESIDENTIAL,1
45062002,485300,879500,1364800,RESIDENTIAL,1
45062003,139200,870000,1009200,RESIDENTIAL,1
45062004,127700,884700,1012400,RESIDENTIAL,1
45062005,63800,879900,943700,RESIDENTIAL,1
45062006,39400,872500,911900,RESIDENTIAL,1
45062007,204800,879600,1084400,RESIDENTIAL,1
45062008,105900,910100,1016000,RESIDENTIAL,1
45062009,105200,870000,975200,RESIDENTIAL,1
45062010,42600,870000,912600,RESIDENTIAL,1
45062011,119400,870000,989400,RESIDENTIAL,1
45062012,102100,852600,954700,RESIDENTIAL,1
45062013,188400,870000,1058400,RESIDENTIAL,1
45062014,158200,870000,1028200,RESIDENTIAL,1
45062015,74200,870000,944200,RESIDENTIAL,1
45062016,139500,870000,1009500,RESIDENTIAL,1
45062017,71000,870000,941000,RESIDENTIAL,1
45062018,98000,897000,995000,RESIDENTIAL,1
45062019,475400,895200,1370600,RESIDENTIAL,1
45062020,94800,889300,984100,RESIDENTIAL,1
45062021,221400,870000,1091400,RESIDENTIAL,1
45062022,68800,870000,938800,RESIDENTIAL,1
45062023,329000,870000,1199000,RESIDENTIAL,1
45062024,70200,870000,940200,RESIDENTIAL,1
45062025,95600,870000,965600,RESIDENTIAL,1
45062026,40100,870000,910100,RESIDENTIAL,1
45062027,81900,852600,934500,RESIDENTIAL,1
45062028,61100,870000,931100,RESIDENTIAL,1
45062029,241100,870000,1111100,RESIDENTIAL,1
45062030,95300,870000,965300,RESIDENTIAL,1
45062031,305400,923000,1228400,RESIDENTIAL,1
45062032,59400,871400,930800,RESIDENTIAL,1
45062033,64100,879400,943500,RESIDENTIAL,1
45062034,174600,870000,1044600,RESIDENTIAL,1
45062035,38400,870000,908400,RESIDENTIAL,1
45062036,146100,887600,1033700,RESIDENTIAL,1
45062037,63600,892800,956400,RESIDENTIAL,1
45062038,57200,892900,950100,RESIDENTIAL,1
45062039,184500,892900,1077400,RESIDENTIAL,1
45062040,87200,892900,980100,RESIDENTIAL,1
45062041,17000,892900,909900,RESIDENTIAL,1
45062042,324500,892900,1217400,RESIDENTIAL,2
45062042,324500,892900,1217400,RESIDENTIAL,2
45062043,125700,870000,995700,RESIDENTIAL,1
45062044,66000,870000,936000,RESIDENTIAL,1
45062045,204000,870000,1074000,RESIDENTIAL,1
45062046,601100,870000,1471100,RESIDENTIAL,2
45062046,601100,870000,1471100,RESIDENTIAL,2
45062047,337900,887700,1225600,RESIDENTIAL,1
45062048,265900,910300,1176200,RESIDENTIAL,1
45062049,71600,846300,917900,RESIDENTIAL,1
45062050,355000,864000,1219000,RESIDENTIAL,1
45062051,102600,881600,984200,RESIDENTIAL,1
45063001,75800,957000,1032800,RESIDENTIAL,1
45063002,137400,956000,1093400,RESIDENTIAL,1
45063003,153400,939800,1093200,RESIDENTIAL,1
45063004,248800,934200,1183000,RESIDENTIAL,1
45063005,225300,992000,1217300,RESIDENTIAL,1
45063006,104800,870000,974800,RESIDENTIAL,1
45063007,72200,870000,942200,RESIDENTIAL,1
45063008,135300,870000,1005300,RESIDENTIAL,1
45063009,300500,870000,1170500,RESIDENTIAL,1
45063010,162600,864700,1027300,RESIDENTIAL,1
45063011,41500,861300,902800,RESIDENTIAL,1
45063012,65300,865300,930600,RESIDENTIAL,1
45063013,243600,876400,1120000,RESIDENTIAL,1
45063014,42600,895500,938100,RESIDENTIAL,1
45063015,42300,972900,1015200,RESIDENTIAL A,1
45063016,42600,898700,941300,RESIDENTIAL,1
45063017,71400,920200,991600,RESIDENTIAL,1
45063018,522300,870000,1392300,RESIDENTIAL,1
45063019,424100,870000,1294100,RESIDENTIAL,1
45063020,110300,870000,980300,RESIDENTIAL,1
45063021,159800,859700,1019500,RESIDENTIAL,1
45063022,104500,854100,958600,RESIDENTIAL,1
45063023,82800,871400,954200,RESIDENTIAL,1
45063024,103600,870000,973600,RESIDENTIAL,1
45063025,44300,852700,897000,RESIDENTIAL,1
45063026,78500,867300,945800,RESIDENTIAL,1
45063027,108800,870000,978800,RESIDENTIAL,1
45063028,560100,870000,1430100,RESIDENTIAL,1
45063029,104900,870000,974900,RESIDENTIAL,1
45063030,41600,870000,911600,RESIDENTIAL,1
45063031,371200,908700,1279900,RESIDENTIAL A,1
45063032,246500,903100,1149600,RESIDENTIAL,1
45063033,162400,869900,1032300,RESIDENTIAL A,1
45063034,100600,878700,979300,RESIDENTIAL,1
45063035,43900,878600,922500,RESIDENTIAL,1
45063036,201400,881900,1083300,RESIDENTIAL,1
45063038,807800,876900,1684700,RESIDENTIAL,1
45063039,106000,809900,915900,RESIDENTIAL,2
45063039,106000,809900,915900,RESIDENTIAL,2
45063040,152100,893400,1045500,RESIDENTIAL,1
45063041,351200,967500,1318700,RESIDENTIAL,1
45063042,282000,906900,1188900,RESIDENTIAL,1
45063043,42600,887800,930400,RESIDENTIAL,1
45063044,75900,920100,996000,RESIDENTIAL,1
45063045,109600,883900,993500,RESIDENTIAL,1
45063046,59000,873500,932500,RESIDENTIAL,1
45063047,73400,880800,954200,RESIDENTIAL,1
45063048,240000,871500,1111500,RESIDENTIAL,1
45063049,323500,871400,1194900,RESIDENTIAL,1
45063050,259300,870000,1129300,RESIDENTIAL,1
45063051,216000,870000,1086000,RESIDENTIAL,1
45063052,98400,872400,970800,RESIDENTIAL,1
45063053,63800,870800,934600,RESIDENTIAL,1
45063054,163500,870400,1033900,RESIDENTIAL,1
45063055,143400,871500,1014900,RESIDENTIAL,1
45063056,77400,871200,948600,RESIDENTIAL,1
45063057,95300,870200,965500,RESIDENTIAL,1
45063058,56600,870000,926600,RESIDENTIAL,1
45063059,50300,870000,920300,RESIDENTIAL,1
45063060,185800,880400,1066200,RESIDENTIAL,1
45063061,266300,862000,1128300,RESIDENTIAL,1
45063062,234600,877200,1111800,RESIDENTIAL,1
45063063,103800,870000,973800,RESIDENTIAL,1
45063064,112100,870000,982100,RESIDENTIAL,1
45063065,58100,870000,928100,RESIDENTIAL,1
45063066,251300,870000,1121300,RESIDENTIAL A,1
45063067,70300,870000,940300,RESIDENTIAL,1
45063068,211100,870000,1081100,RESIDENTIAL,2
45063068,211100,870000,1081100,RESIDENTIAL,2
45063069,150400,872900,1023300,RESIDENTIAL,1
45063070,159300,877300,1036600,RESIDENTIAL,1
45063071,210400,886000,1096400,RESIDENTIAL A,1
45063072,478700,902600,1381300,RESIDENTIAL A,1
45064001,399500,875000,1274500,RESIDENTIAL,1
45064002,398600,844100,1242700,RESIDENTIAL,1
45064003,223900,849700,1073600,RESIDENTIAL,1
45064004,463700,845200,1308900,RESIDENTIAL,1
45064005,144800,845300,990100,RESIDENTIAL,1
45064007,164500,844000,1008500,RESIDENTIAL A,1
45064008,249300,852500,1101800,RESIDENTIAL,1
45064009,229900,840300,1070200,RESIDENTIAL,1
45064010,100800,852600,953400,RESIDENTIAL,1
45064011,134100,852500,986600,RESIDENTIAL,1
45064012,105800,852500,958300,RESIDENTIAL,1
45064013,105000,852500,957500,RESIDENTIAL,1
45064014,226500,852600,1079100,RESIDENTIAL A,1
45064015,298000,846200,1144200,RESIDENTIAL,1
45064016,84500,848100,932600,RESIDENTIAL,1
45064017,169600,844500,1014100,RESIDENTIAL,1
45064018,133100,844300,977400,RESIDENTIAL,1
45064019,333100,844300,1177400,RESIDENTIAL,1
45064020,111000,835700,946700,RESIDENTIAL,1
45064021,255700,844000,1099700,RESIDENTIAL,1
45064022,96700,853400,950100,RESIDENTIAL,1
45064023,522300,891700,1414000,RESIDENTIAL A,1
45064024,165900,874000,1039900,RESIDENTIAL,1
45064025,296400,850800,1147200,RESIDENTIAL,1
45064026,234400,864200,1098600,RESIDENTIAL,1
45064027,260700,906500,1167200,RESIDENTIAL,1
45064028,346100,878600,1224700,RESIDENTIAL,1
45064029,201900,886400,1088300,RESIDENTIAL,1
45064030,253600,899700,1153300,RESIDENTIAL,1
45064031,319900,934000,1253900,RESIDENTIAL,1
45064033,337400,940600,1278000,RESIDENTIAL,2
45064033,337400,940600,1278000,RESIDENTIAL,2
45064034,334400,897300,1231700,RESIDENTIAL,2
45064034,334400,897300,1231700,RESIDENTIAL,2
45065003,329400,825300,1154700,RESIDENTIAL,1
45065004,127000,825400,952400,RESIDENTIAL,1
45065005,121900,825200,947100,RESIDENTIAL,1
45065006,104100,825000,929100,RESIDENTIAL,1
45065007,72400,825100,897500,RESIDENTIAL,1
45065008,134600,832600,967200,RESIDENTIAL,1
45065009,401600,825000,1226600,RESIDENTIAL,1
45065010,80300,825200,905500,RESIDENTIAL,1
45065011,80800,825000,905800,RESIDENTIAL,1
45065012,484800,825000,1309800,RESIDENTIAL,1
45065013,89000,825000,914000,RESIDENTIAL,1
45065014,706800,825000,1531800,RESIDENTIAL A,1
45065015,534900,825000,1359900,RESIDENTIAL,1
45065016,644000,825000,1469000,RESIDENTIAL,1
45065017,264600,802400,1067000,RESIDENTIAL,1
45065018,145000,825000,970000,RESIDENTIAL,1
45065019,95500,825000,920500,RESIDENTIAL,1
45065020,77800,825000,902800,RESIDENTIAL,1
45065021,386900,825000,1211900,RESIDENTIAL,1
45065022,100300,825000,925300,RESIDENTIAL,1
45065023,233000,825000,1058000,RESIDENTIAL,1
45065024,171800,825000,996800,RESIDENTIAL,1
45065025,123200,825000,948200,RESIDENTIAL,1
45065026,87700,825200,912900,RESIDENTIAL,1
45065027,195200,816800,1012000,RESIDENTIAL,1
45065028,160100,826700,986800,RESIDENTIAL,1
45065029,652300,784100,1436400,RESIDENTIAL,1
45065030,62300,817600,879900,RESIDENTIAL,1
45065031,96800,825900,922700,RESIDENTIAL,1
45065032,229800,827000,1056800,RESIDENTIAL,1
45065033,293000,827600,1120600,RESIDENTIAL,1
45065034,208700,825700,1034400,RESIDENTIAL,1
45065035,100100,825100,925200,RESIDENTIAL,1
45065036,89900,832900,922800,RESIDENTIAL,1
45065037,89600,836000,925600,RESIDENTIAL,1
45065038,323700,831100,1154800,RESIDENTIAL,1
45065039,270200,829000,1099200,RESIDENTIAL,1
45065040,345300,825100,1170400,RESIDENTIAL,1
45065041,100400,825300,925700,RESIDENTIAL,1
45065042,233900,825100,1059000,RESIDENTIAL,1
45065043,86000,825300,911300,RESIDENTIAL,1
45065044,530400,835200,1365600,RESIDENTIAL,1
45065045,433800,836400,1270200,RESIDENTIAL,1
45065046,111300,831300,942600,RESIDENTIAL,1
45065047,819700,835300,1655000,RESIDENTIAL,1
45065049,501900,825100,1327000,RESIDENTIAL,1
45065050,113100,825000,938100,RESIDENTIAL,1
45065051,299000,825000,1124000,RESIDENTIAL A,1
45065052,85100,825000,910100,RESIDENTIAL,1
45065053,328200,825000,1153200,RESIDENTIAL,1
45065054,152400,816800,969200,RESIDENTIAL,1
45065055,178100,827500,1005600,RESIDENTIAL A,1
45065056,309800,829400,1139200,RESIDENTIAL,1
45065057,141600,831700,973300,RESIDENTIAL,1
45065058,315800,824100,1139900,RESIDENTIAL,1
45065059,155600,822300,977900,RESIDENTIAL,2
45065059,155600,822300,977900,RESIDENTIAL,2
45065060,134500,825000,959500,RESIDENTIAL,1
45065061,531000,837700,1368700,RESIDENTIAL A,1
45065062,198300,825200,1023500,RESIDENTIAL,1
45065064,554900,809600,1364500,RESIDENTIAL,1
45065065,570500,826800,1397300,RESIDENTIAL,1
45065066,203100,827700,1030800,RESIDENTIAL,1
45065067,335400,826200,1161600,RESIDENTIAL,1
45065069,91700,826200,917900,RESIDENTIAL,1
45065070,145800,845700,991500,RESIDENTIAL,1
45065071,168800,825200,994000,RESIDENTIAL,1
45065072,128000,826500,954500,RESIDENTIAL,1
45065073,93700,825900,919600,RESIDENTIAL,1
45065074,179100,826000,1005100,RESIDENTIAL,1
45065075,551100,839300,1390400,RESIDENTIAL,1
45065076,145600,829200,974800,RESIDENTIAL,1
45065077,159400,826800,986200,RESIDENTIAL,1
45065078,177000,831200,1008200,RESIDENTIAL A,1
45065079,295000,825000,1120000,RESIDENTIAL,1
45065080,83500,825100,908600,RESIDENTIAL,1
45065081,228600,826700,1055300,RESIDENTIAL A,1
45065082,121700,825500,947200,RESIDENTIAL,1
45065083,330600,825600,1156200,RESIDENTIAL A,1
45065084,107100,827000,934100,RESIDENTIAL,1
45065085,130100,827900,958000,RESIDENTIAL,1
45065086,183200,808500,991700,RESIDENTIAL,1
45066001,89400,879800,969200,RESIDENTIAL,1
45066002,180400,870000,1050400,RESIDENTIAL,1
45066003,150400,870000,1020400,RESIDENTIAL,1
45066004,778600,870000,1648600,RESIDENTIAL A,1
45066005,19000,870000,889000,RESIDENTIAL,1
45066006,93300,870000,963300,RESIDENTIAL,1
45066007,269800,870000,1139800,RESIDENTIAL A,1
45066008,85900,872500,958400,RESIDENTIAL,1
45066009,198500,874200,1072700,RESIDENTIAL,1
45066010,112100,891700,1003800,RESIDENTIAL,1
45066011,110600,913500,1024100,RESIDENTIAL,1
45066012,433700,880100,1313800,RESIDENTIAL,1
45066013,80400,880100,960500,RESIDENTIAL,2
45066013,80400,880100,960500,RESIDENTIAL,2
45066014,93300,897700,991000,RESIDENTIAL,1
45066015,119000,887200,1006200,RESIDENTIAL A,1
45066016,54300,873100,927400,RESIDENTIAL,1
45066017,189400,870400,1059800,RESIDENTIAL,1
45066018,160700,870400,1031100,RESIDENTIAL,1
45066019,98800,870400,969200,RESIDENTIAL,1
45066020,209400,865900,1075300,RESIDENTIAL A,1
45066021,106500,830900,937400,RESIDENTIAL,1
45066022,47900,870800,918700,RESIDENTIAL,1
45066023,718600,870900,1589500,RESIDENTIAL,2
45066023,718600,870900,1589500,RESIDENTIAL,2
45066024,367100,903400,1270500,RESIDENTIAL A,1
45066025,45800,897600,943400,RESIDENTIAL,1
45066026,193900,879900,1073800,RESIDENTIAL,1
45066027,64700,872100,936800,RESIDENTIAL,1
45066028,67300,963400,1030700,RESIDENTIAL,1
45066029,255800,929800,1185600,RESIDENTIAL,1
45066030,52700,865600,918300,RESIDENTIAL,1
45066031,198100,862100,1060200,RESIDENTIAL,1
45066032,92500,883200,975700,RESIDENTIAL,1
45066033,268000,901600,1169600,RESIDENTIAL,2
45066033,268000,901600,1169600,RESIDENTIAL,2
45066034,41600,970400,1012000,RESIDENTIAL A,1
45066035,113800,991500,1105300,RESIDENTIAL A,1
45066036,101700,982500,1084200,RESIDENTIAL,1
45066037,77500,891300,968800,RESIDENTIAL,1
45066038,161500,902100,1063600,RESIDENTIAL,1
45066039,384200,912500,1296700,RESIDENTIAL A,1
45066040,43000,871800,914800,RESIDENTIAL,1
45066041,44400,885000,929400,RESIDENTIAL,1
45066042,77500,876400,953900,RESIDENTIAL,1
45066043,194000,885800,1079800,RESIDENTIAL,1
45066044,65800,899100,964900,RESIDENTIAL,1
45066045,281300,869300,1150600,RESIDENTIAL,1
45066046,492400,884400,1376800,RESIDENTIAL,1
45066047,502800,864100,1366900,RESIDENTIAL,1
45066048,53800,866400,920200,RESIDENTIAL,1
45066049,230500,854500,1085000,RESIDENTIAL A,1
45066050,85000,871000,956000,RESIDENTIAL,1
45066051,71600,863000,934600,RESIDENTIAL,1
45066052,44300,886500,930800,RESIDENTIAL,1
45066053,65600,844600,910200,RESIDENTIAL,2
45066053,65600,844600,910200,RESIDENTIAL,2
45066054,51700,861300,913000,RESIDENTIAL,1
45066055,75600,861300,936900,RESIDENTIAL,1
45066056,142500,861300,1003800,RESIDENTIAL,1
45066057,93600,861600,955200,RESIDENTIAL,1
45066058,58200,846600,904800,RESIDENTIAL,1
45066059,72500,856600,929100,RESIDENTIAL,1
45066060,259700,887500,1147200,RESIDENTIAL,1
45066061,201600,879900,1081500,RESIDENTIAL,1
45066062,193900,874500,1068400,RESIDENTIAL,1
45067001,165700,915800,1081500,RESIDENTIAL A,1
45067002,208300,870000,1078300,RESIDENTIAL,1
45067003,41400,908200,949600,RESIDENTIAL,1
45067004,107100,889700,996800,RESIDENTIAL,1
45067005,97000,922100,1019100,RESIDENTIAL A,2
45067005,97000,922100,1019100,RESIDENTIAL A,2
45067006,68200,982800,1051000,RESIDENTIAL,1
45067007,269400,877300,1146700,RESIDENTIAL,1
45067008,273100,919600,1192700,RESIDENTIAL A,1
45067009,222500,909000,1131500,RESIDENTIAL,1
45067010,113600,878900,992500,RESIDENTIAL,1
45067011,104400,862400,966800,RESIDENTIAL,1
45067012,141700,872300,1014000,RESIDENTIAL A,1
45067013,73700,883000,956700,RESIDENTIAL,1
45067014,64500,896900,961400,RESIDENTIAL,1
45067015,69300,859100,928400,RESIDENTIAL,1
45067016,164600,891000,1055600,RESIDENTIAL,1
45067017,125800,949300,1075100,RESIDENTIAL,1
45067018,70600,877600,948200,RESIDENTIAL,1
45067019,32900,885900,918800,RESIDENTIAL,1
45067020,20400,873000,893400,RESIDENTIAL,1
45067021,50100,861700,911800,RESIDENTIAL,1
45067022,44500,862500,907000,RESIDENTIAL,1
45067023,80800,873700,954500,RESIDENTIAL,1
45067024,55700,885300,941000,RESIDENTIAL,1
45067025,303300,885500,1188800,RESIDENTIAL,1
45067026,229000,879900,1108900,RESIDENTIAL,1
45067027,44300,885400,929700,RESIDENTIAL,1
45067028,248900,871300,1120200,RESIDENTIAL,1
45067029,61400,871300,932700,RESIDENTIAL,1
45067030,59900,868700,928600,RESIDENTIAL,1
45067031,130300,892800,1023100,RESIDENTIAL,1
45067032,36000,890200,926200,RESIDENTIAL,1
45067033,433800,862400,1296200,RESIDENTIAL,1
45067034,159900,862400,1022300,RESIDENTIAL,1
45067035,166400,862400,1028800,RESIDENTIAL,1
45067036,69400,925000,994400,RESIDENTIAL,1
45067037,205300,897300,1102600,RESIDENTIAL,1
45067038,521900,894600,1416500,RESIDENTIAL,1
45067039,46900,894200,941100,RESIDENTIAL,1
45067040,154900,895700,1050600,RESIDENTIAL,1
45067041,172700,886100,1058800,RESIDENTIAL,1
45067042,114100,879600,993700,RESIDENTIAL,1
45067043,235200,880300,1115500,RESIDENTIAL A,1
45067044,64800,888600,953400,RESIDENTIAL,1
45067045,44400,889700,934100,RESIDENTIAL,1
45067046,200000,884800,1084800,RESIDENTIAL,1
45067047,33800,888500,922300,RESIDENTIAL,1
45067048,105100,881000,986100,RESIDENTIAL,1
45067049,52800,907300,960100,RESIDENTIAL,1
45067050,23300,953800,977100,RESIDENTIAL,1
45067051,147900,862400,1010300,RESIDENTIAL,1
45067052,198900,861900,1060800,RESIDENTIAL,1
45067053,146100,875500,1021600,RESIDENTIAL,1
45067054,51700,875300,927000,RESIDENTIAL,1
45067055,353200,877600,1230800,RESIDENTIAL,1
45067056,51700,871800,923500,RESIDENTIAL,1
45067057,52400,870000,922400,RESIDENTIAL,1
45067058,81800,870000,951800,RESIDENTIAL,1
45067059,356400,870000,1226400,RESIDENTIAL,1
45067060,48800,870000,918800,RESIDENTIAL,1
45067061,121600,871100,992700,RESIDENTIAL,1
45067062,138200,872400,1010600,RESIDENTIAL,1
45067063,169500,892100,1061600,RESIDENTIAL,1
45068001,71800,710300,782100,RESIDENTIAL,1
45068002,52400,710100,762500,RESIDENTIAL,1
45068003,52500,712300,764800,RESIDENTIAL,1
45068004,87200,711500,798700,RESIDENTIAL,1
45068005,73200,713300,786500,RESIDENTIAL,1
45068007,99300,722300,821600,RESIDENTIAL,1
45068008,241700,710400,952100,RESIDENTIAL,1
45068009,92400,713000,805400,RESIDENTIAL,1
45068010,523000,691600,1214600,RESIDENTIAL,1
45068011,100500,663500,764000,RESIDENTIAL,1
45068012,93900,679900,773800,RESIDENTIAL,1
45068013,555300,689400,1244700,RESIDENTIAL,1
45068014,97700,712600,810300,RESIDENTIAL,1
45068015,106000,803200,909200,RESIDENTIAL,1
45068016,135400,889000,1024400,RESIDENTIAL,1
45068017,104400,721000,825400,RESIDENTIAL,1
45068018,80000,724600,804600,RESIDENTIAL,1
45068019,134800,708300,843100,RESIDENTIAL,1
45068020,131900,736700,868600,RESIDENTIAL,1
45068021,529400,746400,1275800,RESIDENTIAL,1
45068022,111100,746000,857100,RESIDENTIAL,1
45068023,160000,686300,846300,RESIDENTIAL,1
45068024,559500,681500,1241000,RESIDENTIAL,1
45068026,445900,745700,1191600,RESIDENTIAL A,1
45068027,154700,671300,826000,RESIDENTIAL,1
45068028,96800,694800,791600,RESIDENTIAL,1
45068029,104400,709700,814100,RESIDENTIAL,1
45068030,80900,748100,829000,RESIDENTIAL,2
45068030,80900,748100,829000,RESIDENTIAL,2
45068031,208800,745500,954300,RESIDENTIAL,1
45068032,303600,747200,1050800,RESIDENTIAL,1
45068033,163800,747000,910800,RESIDENTIAL,1
45068034,87800,745700,833500,RESIDENTIAL,1
45068035,126100,745500,871600,RESIDENTIAL,1
45068036,264000,709500,973500,RESIDENTIAL,1
45068037,310100,745500,1055600,RESIDENTIAL,1
45068038,101000,745500,846500,RESIDENTIAL,1
45068039,51900,709600,761500,RESIDENTIAL,1
45068040,89400,745500,834900,RESIDENTIAL,1
45068041,92800,745600,838400,RESIDENTIAL,1
45068042,75300,745500,820800,RESIDENTIAL,1
45068043,75300,745600,820900,RESIDENTIAL,1
45068044,83300,745600,828900,RESIDENTIAL,1
45068045,105100,731400,836500,RESIDENTIAL,1
45068046,317500,734600,1052100,RESIDENTIAL,1
45068047,87900,731400,819300,RESIDENTIAL,1
45068048,101700,737000,838700,RESIDENTIAL,1
45068049,96700,734200,830900,RESIDENTIAL,1
45068050,258500,735000,993500,RESIDENTIAL,1
45068051,105800,737800,843600,RESIDENTIAL,1
45068052,105300,678700,784000,RESIDENTIAL,1
45068053,383200,626700,1009900,RESIDENTIAL,2
45068053,239100,636900,876000,RESIDENTIAL,2
45068055,1076900,1457200,2534100,RESIDENTIAL,1
45068056,346700,693600,1040300,RESIDENTIAL A,1
45068063,101800,725800,827600,RESIDENTIAL,1
45068064,119700,771300,891000,RESIDENTIAL,1
45068065,319100,636900,956000,RESIDENTIAL,1
45068067,213200,697700,910900,RESIDENTIAL,1
45069001,308300,1248200,1556500,RESIDENTIAL,1
45069002,274400,1004800,1279200,RESIDENTIAL A,1
45069003,309800,913500,1223300,RESIDENTIAL,1
45069004,147300,913500,1060800,RESIDENTIAL A,1
45069006,194200,878600,1072800,RESIDENTIAL,1
45069007,116500,946100,1062600,RESIDENTIAL,1
45069008,165300,1124800,1290100,RESIDENTIAL,1
45069012,68900,927900,996800,RESIDENTIAL,1
45069013,135700,1015400,1151100,RESIDENTIAL,1
45069014,275200,997800,1273000,RESIDENTIAL A,1
45069015,248100,1122900,1371000,RESIDENTIAL,1
45069016,225500,844300,1069800,RESIDENTIAL,1
45069017,151700,844100,995800,RESIDENTIAL,1
45069018,169300,844400,1013700,RESIDENTIAL,1
45069019,421500,843800,1265300,RESIDENTIAL,1
45069020,274500,844400,1118900,RESIDENTIAL,1
45069021,288200,1489500,1777700,RESIDENTIAL,1
45069022,166900,872100,1039000,RESIDENTIAL,1
45069023,153500,843900,997400,RESIDENTIAL,1
45069024,131700,843900,975600,RESIDENTIAL,1
45069025,119600,827000,946600,RESIDENTIAL,1
45069026,187000,835400,1022400,RESIDENTIAL,2
45069026,187000,835400,1022400,RESIDENTIAL,2
45069027,425400,793800,1219200,RESIDENTIAL,1
45069030,538900,789400,1328300,RESIDENTIAL,2
45069030,362400,738800,1101200,RESIDENTIAL,2
45069031,750700,795100,1545800,RESIDENTIAL A,1
45069032,569200,667700,1236900,RESIDENTIAL A,2
45069032,569300,676700,1246000,RESIDENTIAL A,2
45069035,406700,793600,1200300,RESIDENTIAL,1
45069036,428900,794700,1223600,RESIDENTIAL,1
45069037,429400,791000,1220400,RESIDENTIAL A,1
45069038,361900,787300,1149200,RESIDENTIAL,1
45069039,410700,787900,1198600,RESIDENTIAL,1
45069040,298800,788200,1087000,RESIDENTIAL,1
45069041,253200,780600,1033800,RESIDENTIAL,1
45069042,387400,797100,1184500,RESIDENTIAL,1
45069043,324800,809500,1134300,RESIDENTIAL,1
45069044,374100,804100,1178200,RESIDENTIAL,1
45069045,367400,825700,1193100,RESIDENTIAL A,1
45069046,481200,788200,1269400,RESIDENTIAL,1
45069047,386200,789200,1175400,RESIDENTIAL,1
45069048,400500,803000,1203500,RESIDENTIAL A,1
45069049,436400,818200,1254600,RESIDENTIAL,1
45069050,396200,852600,1248800,RESIDENTIAL,1
45070001,328300,878800,1207100,RESIDENTIAL A,1
45070002,237600,876200,1113800,RESIDENTIAL,1
45070003,51300,874400,925700,RESIDENTIAL,1
45070004,135300,888400,1023700,RESIDENTIAL,1
45070005,132400,941800,1074200,RESIDENTIAL,1
45070006,46900,910600,957500,RESIDENTIAL,1
45070007,46900,875200,922100,RESIDENTIAL,1
45070008,49300,857700,907000,RESIDENTIAL,1
45070009,119300,875200,994500,RESIDENTIAL,1
45070010,54800,875200,930000,RESIDENTIAL,1
45070011,48500,880000,928500,RESIDENTIAL,1
45070012,50300,900700,951000,RESIDENTIAL,1
45070013,73100,898500,971600,RESIDENTIAL,1
45070014,55900,889100,945000,RESIDENTIAL,1
45070015,46800,870500,917300,RESIDENTIAL,1
45070016,324900,817400,1142300,RESIDENTIAL,2
45070016,347400,765200,1112600,RESIDENTIAL,2
45070017,512300,947500,1459800,RESIDENTIAL A,1
45070018,86100,918300,1004400,RESIDENTIAL,1
45070019,50700,870000,920700,RESIDENTIAL,1
45070020,54300,870000,924300,RESIDENTIAL,1
45070021,120900,870200,991100,RESIDENTIAL,1
45070022,86500,870000,956500,RESIDENTIAL,1
45070023,154300,870000,1024300,RESIDENTIAL,1
45070024,606300,870000,1476300,RESIDENTIAL,1
45070025,108600,874800,983400,RESIDENTIAL,1
45070026,87400,879600,967000,RESIDENTIAL,1
45070027,107300,900000,1007300,RESIDENTIAL,1
45070028,65700,911400,977100,RESIDENTIAL,1
45070029,82900,897800,980700,RESIDENTIAL,1
45070030,64500,921200,985700,RESIDENTIAL,1
45070031,430700,877500,1308200,RESIDENTIAL,1
45070032,45800,889600,935400,RESIDENTIAL,1
45070033,117800,898500,1016300,RESIDENTIAL A,1
45070034,44100,896500,940600,RESIDENTIAL,1
45070035,57800,886900,944700,RESIDENTIAL,1
45070036,76100,882700,958800,RESIDENTIAL,1
45070037,42300,876800,919100,RESIDENTIAL,1
45070038,50200,876400,926600,RESIDENTIAL,1
45070039,59900,870000,929900,RESIDENTIAL,1
45070040,134100,870000,1004100,RESIDENTIAL A,1
45070041,332600,870000,1202600,RESIDENTIAL,1
45070042,58700,870000,928700,RESIDENTIAL,1
45070043,103500,870600,974100,RESIDENTIAL,1
45070044,137200,884700,1021900,RESIDENTIAL,1
45070045,77200,882000,959200,RESIDENTIAL,1
45070046,91800,910600,1002400,RESIDENTIAL,1
45070050,85800,911600,997400,RESIDENTIAL,1
45071001,263100,742300,1005400,RESIDENTIAL,3
45071001,297400,702700,1000100,RESIDENTIAL,3
45071001,237700,655800,893500,RESIDENTIAL,3
45071002,283100,655300,938400,RESIDENTIAL,2
45071002,1556600,668600,2225200,RESIDENTIAL,2
45071003,143900,759100,903000,RESIDENTIAL,1
45071004,564600,609800,1174400,RESIDENTIAL A,2
45071004,334000,590800,924800,RESIDENTIAL,2
45071007,254900,695500,950400,RESIDENTIAL,2
45071007,254900,697600,952500,RESIDENTIAL,2
45071008,403900,623000,1026900,RESIDENTIAL A,2
