tmk,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,year_tce
57005009,21.6947792,-158.0167953,2090.132874,201.6897734,167.4953783,167.488849,167.488849,167.488849,167.488849,14.99193072,13.60662407,12.1957812,11.37096239,1274.68113845,0,0,0,0,0,0.0010906016903,9.39083516267,29.2451836398,550100,1140800,1690900,RESIDENTIAL A,2,NA
57005010,21.69461369,-158.0170347,2027.069244,197.6710654,197.4476764,197.4410206,197.4410206,197.4410206,197.4410206,30.25868983,10.49003024,10.05471095,9.587259607,1245.22867536,0,0,0,0,0,31.8473561464,63.3040930266,87.7862576529,1149800,1414200,2564000,RESIDENTIAL,1,NA
57005012,21.69409698,-158.0178858,1350.097351,153.6944232,214.1552132,214.1619998,214.1619998,214.1619998,214.1619998,76.92088736,54.15608653,16.78776133,9.914225118,3741.60200613,0,0,0,0,0,0,2.18844753084,24.2932374544,342800,375000,717800,RESIDENTIAL,1,NA
58001021,21.68737969,-158.0283389,362.0028076,82.93206225,14.61467677,9.648545094,5.579605948,0,0,25.72200949,24.84948512,23.47645752,21.66630684,1861.29905232,212.670218774,485.304541396,979.756489841,1648.93860932,0,0,0,0,0,1573500,1573500,RESIDENTIAL,1,2075
58001034,21.69040458,-158.0227499,1226.448853,182.4998398,19.44894544,12.97524074,6.787232946,0,0,28.36847363,26.97846206,24.81929174,21.98326328,1243.24595114,0,0,79.3693554506,422.873900699,0,0,0,0,49200,657900,707100,RESIDENTIAL,1,2075
58003068,21.68062131,-158.0369515,2027.39566,183.4736167,28.13641302,23.43662725,19.66815885,12.78350761,2.970464363,53.29807106,52.28297814,50.28244333,48.28104882,2924.66491012,149.785337268,270.606141184,474.934649702,730.617268737,359.655124385,380.63038184,412.154429086,452.46149495,762400,2741300,3503700,RESIDENTIAL A,1,NA
58003069,0,0,4718.832123,398.7153127,14.75466078,11.33275341,9.378329567,4.749058351,0,35.57138439,34.57111229,32.6449787,29.74277916,2623.68562281,107.570090085,177.42513561,317.763493086,515.953970059,284.083960068,314.10512983900003,365.595269556,432.39031379,2850000,2855400,5705400,RESIDENTIAL A,1,2100
58003070,21.68070719,-158.036218,2406.604736,226.184341,29.72944205,26.98716496,25.92602263,22.3067454,16.04410308,46.00009067,45.33291169,43.88722402,41.90201494,4902.72610706,168.301019499,242.777260212,461.143487771,822.676560823,144.505716764,185.031322464,271.581779534,423.623634157,1380200,2100300,3480500,RESIDENTIAL A,4,NA
58003072,21.68077974,-158.0358956,3568.830322,249.573997,28.8159932,26.04210428,24.81350625,20.98262157,14.59215254,42.22733006,41.99407031,39.99581984,38.99320127,2401.80270893,81.1627588702,115.359281365,227.329496732,418.03151401,0,0.339256864029,8.72995936657,46.7057491379,571900,1210900,1782800,RESIDENTIAL,2,NA
58003095,21.68066958,-158.0339547,6605.594452,448.7282055,39.90223482,38.45291396,38.88097403,37.05239634,32.58695513,61.00900131,59.30174346,57.42118159,14.2004578,3268.50759949,18.9437906541,18.631378958,46.3913556251,113.9080299,0,0,0,79.9765187567,1878700,2732800,4611500,RESIDENTIAL,1,NA
58006034,21.68313854,-158.0313724,7989.075134,545.1288744,27.47717044,23.16224953,20.03969268,13.76416441,4.662821755,42.87174808,42.05562178,40.79880671,38.67565623,2079.36856717,51.8605343496,123.36373019,262.569022735,467.125805507,0,0,0,0,1903900,3009100,4913000,RESIDENTIAL A,1,NA
58006039,21.68200837,-158.0322279,3753.412231,265.1421508,21.41321567,18.28842539,16.47669333,12.03846512,5.166998802,36.76030108,35.77375609,34.25112407,32.19226868,1680.55559474,76.0011668521,126.868583293,254.559792513,457.207527265,0,0,0,0,1915500,2614200,4529700,RESIDENTIAL,1,NA
58006041,0,0,2392.190704,282.2961278,24.88057849,21.12605713,18.52058209,13.03708636,5.104067753,46.33048801,44.96802488,42.60876662,39.57270685,1216.26195397,67.7900774604,138.106557518,285.977549011,503.021130239,0,0,0,0,1665400,2682200,4347600,RESIDENTIAL A,1,NA
58006043,21.68126015,-158.033075,4959.881195,364.331244,22.98053947,20.28738974,18.79887093,14.07784215,6.844172823,38.62783047,37.61696356,34.7056456,31.96009136,1390.97392925,1.9843372065,30.8180455042,157.833721688,367.722179874,0,0,0,0,1407500,3002300,4409800,RESIDENTIAL A,1,NA
