tmk,year_tce,total_value,public_costce_discounted
68006020,2030,2425600,1884711.4188732211
68006021,2100,1033500,109315.41387126457
68006031,2050,2527300,1040380.4251490539
68009010,2030,2080400,1564414.2148799356
68009011,2024,2358000,2028550.4871999999
68009012,2050,2913600,1143508.3478793069
68009013,2050,2975100,1206706.1836728384
68009014,2100,1257200,132976.62149874584
68009020,2024,4421600,4289991.1757
68009023,2050,358700,154183.07734255915
68010005,2075,1024600,226911.17859473923
68010007,2100,933700,88593.658481351
68010008,2024,2674500,2561742.2264
68010009,2024,1600700,1470181.67
68010010,2024,1363300,1227850.9462000001
68010011,2024,1434200,1273935.875
68010013,2024,1492100,1338868.052
68010014,2024,1571400,1366310.8155
68010015,2024,1491300,1260360.0750000002
68010016,2075,1082100,231144.10504626148
68010017,2075,918500,155188.94419764474
68010018,2024,1815700,1655902.18
68010019,2030,1536500,1152502.3081487599
68010020,2030,1469500,1090306.8910670455
68010021,2024,2050000,1825651.4944
68010022,2050,1404200,463680.4779140519
68010023,2024,1275300,1100891.8383
68010024,2024,1502300,1272591.46
68010026,2024,1650100,1427417.7793999999
68010027,2024,1348300,1148953.486
68010028,2024,1434400,1221249.9693
68010029,2024,1497800,1286313.0831
68010030,2024,1244800,1062807.7042
68011039,2100,2274300,204491.74470251187
68011040,2100,2352100,211206.8313896881
68011041,2100,2271500,194907.71384951274
68011048,2050,2303900,930440.379500056
68011049,2050,2065400,864573.7915481449
68011075,2050,2274700,1000584.2091986175
68012040,2024,3029700,2962025.8893
68012041,2030,2440100,2034038.14067453
68012042,2030,2428500,2020404.6505440546
68012043,2030,2461400,1995275.7338398008
68012045,2030,2308500,1864541.855136349
68012046,2030,2369000,1912135.302144656
68012047,2100,2443600,224227.85090970978
68012049,2075,2408000,495208.38984977966
68012050,2100,2230600,204394.10629028306
68012051,2100,2306200,213792.23458889397
68012052,2075,2242600,461900.4086124128
84001007,2075,1425900,275175.762617631
84001014,2075,2276100,465267.65126698033
84001015,2075,2197600,452508.5578536905
84001017,2024,1366200,1302155.6195999999
84003004,2024,1511700,1434063.012
84006010,2024,1618200,1609403.0976
84008019,2075,1809700,344226.0885429005
84009005,2100,1750200,122230.25498603392
84009006,2030,1465400,1156592.3305993646
87001021,2100,622600,56200.91762569369
87008007,2100,746000,78905.9494416675
87008066,2100,470100,49723.440794273316
87008085,2100,400000,42308.82007596113
87008086,2100,438100,46338.73518819643
87011007,2100,637000,67376.7959709681
87011008,2100,567800,60057.370097826824
87011035,2100,571400,57908.680178911825
87011036,2100,508000,44590.42156656401
87011041,2075,1372800,299835.5248782411
87011042,2075,457000,83680.17089986782
87011045,2100,617000,25699.09603521983
87011046,2100,480700,33080.5397634092
87011048,2100,633000,66811.30209929557
87011073,2100,837800,82866.94665916057
87011075,2100,501900,9954.003503314889
87011076,2100,490800,3786.639396798521
87011078,2075,457800,46414.44018668307
87011079,2075,773600,125629.25647631916
87011080,2075,782400,123987.91778602742
87011087,2100,648300,28536.81033686024
87011088,2100,477800,34024.655445754004
87011089,2100,457700,48411.867371918524
87011090,2100,495800,52441.782484153824
87011103,2100,495600,27224.353326529774
87012044,2100,1327700,128602.52254861183
87012078,2100,457700,23358.918141879858
87023040,2050,1650800,597008.7120246699
87023041,2024,1823400,1669428.327
87023043,2100,1062400,112372.22612175276
87023044,2075,1633100,270126.61329233757
87023046,2100,1597200,113276.90746641197
87023051,2024,1708700,1583915.844
87023054,2100,773200,81782.94920683287
87023055,2100,665000,64216.67204452668
87028001,2024,1185500,940533.572
87028002,2024,1292000,1044336.938
87028004,2024,1190200,1059601.8769999999
87028005,2030,1189900,897659.451864693
87028006,2030,1927900,1529309.045933944
87028007,2030,1290400,990808.003166272
87028008,2050,1715000,645883.0075790812
87028009,2075,1616000,229843.31350562544
87028010,2100,2128700,124165.73612173442
87028011,2050,1725400,636489.2845287821
87028012,2050,2123600,813723.6241332986
87028013,2100,1503100,57534.89751357619
87028014,2050,1762000,642375.6200115636
87028015,2030,2758400,2181234.614238476
87028016,2100,1600600,75992.80831890072
91006003,2100,1677400,148943.56085757932
91006005,2030,1754800,1416729.2755245871
91006006,2024,1560800,1499269.127
91006007,2030,1572800,1205034.8109397518
91006009,2024,1530800,1471411.3523
91006012,2024,1702300,1647570.6212
91006042,2075,1232500,211271.8173912438
91007009,2024,1655200,1570271.5686
91007011,2030,2019600,1609138.2047380323
91007013,2100,792600,83834.92698051698
91007015,2030,1598000,1241342.4692609357
91007050,2030,1866700,1523603.8603069806
91007052,2024,1134500,1030895.2787
91007053,2050,1258400,500368.9346423927
91007064,2024,1277000,1191306.8276
91007070,2024,1443800,1330428.8964
91007072,2030,1782500,1404575.8947705077
91007078,2030,2161400,1717052.280842211
91007080,2050,1672400,649150.5570243803
91023026,2024,1465000,1462858.1908
91023029,2024,2053800,2053800
91024009,2100,1732100,178414.7926991492
91024010,2030,1540600,1264135.9318916062
91024013,2024,1251300,1201232.0794
91024020,2030,1553500,1259835.8016419297
91024022,2024,1563900,1515233.1036
91024024,2075,1216700,235211.86788695742
91024025,2024,1246000,1173451.2592
91024029,2075,1435600,287466.53560851986
91024095,2030,1226000,968881.03507944
91025001,2100,1493900,126731.85285588582
91025003,2024,1244100,1142486.2415999998
91025004,2075,1664500,329587.52389834827
91025005,2024,1755800,1688206.37
91025006,2075,1597100,314951.84748805995
91025007,2030,1665100,1335045.4348054458
91025010,2075,1637400,329407.22152931854
91025011,2030,1792600,1448996.3510220333
91025012,2050,1612400,702020.8116321799
91025013,2030,1446200,1158861.5230860559
91025016,2050,1097400,508858.5938910143
91025054,2050,1688600,684513.6440162224
91025074,2030,999200,794074.2749343824
