tmk,year_tce,total_value,public_costce_discounted
39002001,2075,5655000,1208214.6061711423
39002002,2075,4229800,751823.6133105092
39002003,2075,5195200,929594.68354598
39002005,2075,5838000,1008668.5663346093
39002006,2075,7291100,1325448.142971365
39002007,2100,6279000,497625.9659184194
39002008,2100,4069000,280091.49544133036
39002009,2100,5272000,421897.95619250747
39002011,2100,6068800,553790.2682113776
39002032,2100,3756500,313524.4748367401
39003008,2100,6982400,695826.8933756166
41001002,2075,3774900,836001.3742702334
41001003,2075,3575400,791819.469009985
41001004,2075,4935600,1093053.6922430168
41001005,2075,3196300,660797.9941467058
41001006,2030,3615700,3028091.826891089
41001008,2050,2884400,1337481.071823621
41001009,2100,4220200,374131.0768506515
41001011,2075,2746900,606847.0039406328
41001012,2100,2876600,221717.63797244008
41002002,2050,6915200,3199423.4715873105
41002004,2075,2340500,518334.5827649689
41002009,2075,4386600,971470.4040832355
41002016,2100,3670400,356507.42952064576
41002017,2100,3574200,336193.9230628648
41002018,2050,3326400,1542434.1413514398
41002020,2050,2251400,1043962.3093550479
41016083,2100,1730800,183070.2644686838
41016085,2100,1593900,168590.07079768612
41017014,2100,1038100,109801.96530213812
43001004,2050,3248500,1415231.3155176737
43001014,2030,5084700,4049241.5972524122
43001018,2100,8940200,942567.199066115
43003061,2075,3987400,807463.7923175871
43003063,2030,4454700,3404807.5612919857
43003064,2030,11101900,9228048.757018898
43003065,2050,10779600,4462100.714967477
43003067,2075,5827000,943817.0868880204
43003069,2030,5785500,4428493.150066625
43003070,2050,6860900,2709270.8495265283
43003074,2100,6740600,400080.13408239844
43003076,2075,6204000,876817.7696038679
43003091,2030,7018000,5782509.777646332
43003105,2100,3764600,129993.1584630426
43004074,2024,6632900,6029128.8446
43004075,2075,2737300,606211.1742800896
43004076,2024,5624500,5090211.8715
43004078,2075,4456700,719260.1948198956
43004079,2050,11030300,4697768.88308486
43004082,2075,3972900,649675.640696394
43004083,2075,12761300,1819984.0739471917
43004086,2050,4701800,1868617.4617546413
43004087,2030,6293100,4769411.765510295
43004088,2030,7230500,5795849.196904852
43004098,2050,3225700,892688.2639623143
43004099,2030,4047700,3384407.012446001
43004100,2100,2987500,315968.8790804146
43005057,2030,9267100,7761050.355113093
43005060,2050,4690600,1824669.1750642553
43005062,2024,5357700,5080161.6636
43005063,2030,5297900,4165105.698851785
43005094,2050,10155100,4542124.502088044
43007032,2075,6895100,1527010.801804203
43008036,2024,6233700,5559436.2228
43008037,2030,3469200,2571562.6992434864
43008038,2024,3784400,3524745.5294
43008040,2030,5867100,4711982.626184206
43008041,2030,8719900,7042237.856284525
43008042,2075,3819100,590195.7923748634
43008043,2030,4203200,3501731.9036649494
43008044,2050,5705000,2448753.920261638
43008045,2030,4301000,3602019.787996397
43008046,2024,4681700,4681700
43008047,2024,4703400,4682780.9264
43008048,2030,5307900,4442144.647867336
43008050,2024,4509100,4307387.9972
43008051,2050,6874800,3156386.147780604
49007004,2075,1657300,304386.5861394159
49007030,2050,2052800,925307.1523713901
