tmk,year_tce,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,point_count,percenthazard_ce05,landvalue_ce05,percenthazard_ce11,landvalue_ce11,percenthazard_ce20,landvalue_ce20,percenthazard_ce32,landvalue_ce32,public_costce,public_costce_discounted,discount_countywide,capped_discounted
53001019,2075,21.5705847,-157.8753345,2028.568848,188.5796845,29.70877334,22.08994034,14.15833604,2.034418819,0,30.94559886,30.14054971,30.08489177,29.14064854,2954.78632986,218.096163546,460.730557627,824.775133238,1253.12115942,0,0,0,5.45650830483,635800,1051600,1687400,RESIDENTIAL A,1,1,0.07381114544290368,973980.3524000001,0.15592686109686643,887627.1668,0.2791319036855969,758064.7888000001,0.42409873998549796,605617.4916,1393864.7888000002,308689.734558184,308689.734558184,308689.734558184
53001020,2050,21.5703189,-157.8752196,2390.396393,205.0692112,20.26982542,12.52680739,4.428408641,0,0,21.60442326,20.99916635,20.30219433,19.68225805,3067.80527052,179.334988707,431.845816803,809.780342915,1254.02993827,0,0,0,0,634000,1058300,1692300,RESIDENTIAL A,1,1,0.058457096488592424,996434.9569,0.14076702356333104,909326.2839,0.2639608030850473,778950.0737,0.40877103586742297,625697.6507,1543326.2839000002,715632.2605616897,715632.2605616897,715632.2605616897
53001021,2075,21.57004827,-157.8752498,2466.2509,209.1996468,26.18918511,17.71181726,8.608163448,0,0,26.43908648,26.40817999,26.40625044,25.44017666,3127.24363322,250.118240114,523.858172529,928.483589116,1398.82852352,8.62473457068,14.4256297472,23.3119170648,39.7558249906,630200,1071900,1702100,RESIDENTIAL A,1,1,0.07998041388814439,986169.4380000001,0.16751434616867497,892341.7434,0.2969015842747042,753650.7462,0.44730397998434207,592434.8424000001,1383850.7462,306471.99279665365,306471.99279665365,306471.99279665365
53001022,2030,21.56981616,-157.875194,4024.1082,357.6189119,11.21255482,2.330234175,0,0,0,12.62136608,11.84045363,11.6211195,10.63173595,3208.63953724,274.550639225,574.788054651,1011.56548936,1512.19510598,80.1948271821,85.9683845675,108.802996327,124.753951434,355000,1078600,1433600,RESIDENTIAL,1,2,0.08556605877304695,986308.5124,0.1791376214061801,885381.7532,0.31526305077887495,738557.3281999999,0.47128855966187977,570267.6845999999,1341308.5124,1123324.762490772,1123324.762490772,779700
53001023,2050,0,0,1467.384338,172.2726007,21.56715548,12.67709419,2.848056588,0,0,20.77046915,20.3553355,19.79458257,19.35546714,3396.13545767,278.74686186,586.630602179,1032.98860627,1541.71858727,135.83284195,150.113113224,166.2966294,186.405617507,683400,1033100,1716500,RESIDENTIAL A,1,1,0.0820776630774442,948305.2182,0.1727347479188807,854647.4715,0.30416590243391134,718866.1054000001,0.4539626309039313,564110.8247,1538047.4715,713184.5030846727,713184.5030846727,713184.5030846727
53001024,2050,21.56924301,-157.8751229,189.9412689,49.17344491,20.13978876,12.49775921,4.093396949,0,0,20.43628724,20.00325275,19.54097409,18.60394354,3329.88128527,216.968217188,447.850530492,794.063379209,1197.7282059,66.5224165975,74.3862266827,92.2092718916,107.117528743,621700,1033100,1654800,RESIDENTIAL A,1,4,0.06515794366236914,965785.2701999999,0.13449444353259776,894154.2486,0.2384659725623264,786740.7753999999,0.35969096291758146,661503.2279,1515854.2486,702893.6226410753,702893.6226410753,702893.6226410753
53001025,2050,21.56894195,-157.8750733,879.1258392,119.4704444,13.24346679,7.202491498,1.029590829,0,0,14.62322542,14.62321604,14.39347769,13.45070467,3177.54599271,168.126105834,336.151650098,603.596280465,929.486766062,76.2488509059,93.3966609948,104.5158196,135.783305736,443300,1078600,1521900,RESIDENTIAL A,1,1,0.05291067579185913,1021530.1954,0.10578970402606507,964494.906,0.18995674078354322,873712.3798000001,0.29251717148845374,763091.1638,1407794.906,652787.0752269843,652787.0752269843,652787.0752269843
53001026,2030,21.56858314,-157.8751018,4005.548233,323.9690226,8.10180537,2.646959994,0,0,0,9.77103596,9.771053538,8.770786482,7.77060539,3132.85301104,166.434564398,330.516224,594.939376546,919.855227728,52.2245814192,65.3974942368,89.5856368455,115.773293753,524900,1075100,1600000,RESIDENTIAL A,1,2,0.05312555801740261,1017984.2374,0.10550007384172803,961676.95,0.18990338022545794,870935.2847000001,0.2936158270070384,759433.4384,1542884.2374,1292141.2587078658,1292141.2587078658,779700
53001029,2050,0,0,2197.544662,206.976998,17.39632009,11.37087296,5.182392641,0,0,19.88594387,19.07742023,17.21078844,15.3779479,2254.33584395,187.582743995,380.489609244,681.897555708,1044.90337305,0,2.63322260338,10.1584071382,34.5832883743,687500,817400,1504900,RESIDENTIAL A,1,1,0.08320975976069363,749384.146,0.16878124449164333,679438.4106000001,0.30248268355312735,570150.3957999999,0.4635082992865616,438528.5608,1366938.4106,633842.1337283889,633842.1337283889,633842.1337283889
53001030,2030,21.56749332,-157.875052,4070.730637,296.6471401,8.558752792,2.579770333,0,0,0,11.8517521,11.19813943,11.19813943,10.84287219,1765.61123813,184.897375524,375.705537551,672.985082547,1029.63711775,0,0,0,0,395400,871900,1267300,RESIDENTIAL A,1,1,0.10472145369885,780593.7601000001,0.21279063558120445,686367.5271000001,0.38116266367888224,539563.9803,0.5831618509862413,363441.05220000003,1175993.7601,984876.2600419642,984876.2600419642,779700
