GEOID,block_group,tract,Owner occupied,Renter occupied
150030089291,1,89.29,2.59,3.26
150030089292,2,89.29,3.28,1.56
150030089293,3,89.29,2.63,5.75
150030089294,4,89.29,2.97,2.53
150030089295,5,89.29,2.4,1.94
150030089301,1,89.30,2.75,4.48
150030089302,2,89.30,2.67,3.56
150030089311,1,89.31,NA,NA
150030089312,2,89.31,3.8,3.18
150030089313,3,89.31,3.69,4
150030089321,1,89.32,3.12,1.44
150030089322,2,89.32,3.17,3.34
150030089331,1,89.33,2.82,4.78
150030089332,2,89.33,3.01,5.49
150030089341,1,89.34,3.67,2
150030089342,2,89.34,3.12,3.48
150030089343,3,89.34,3.35,3.57
150030089351,1,89.35,2.84,4.1
150030089352,2,89.35,3.24,2.58
150030089361,1,89.36,3.06,5.37
150030089362,2,89.36,3.67,2.51
150030089371,1,89.37,4.1,4.08
150030089381,1,89.38,1.86,3.18
150030089382,2,89.38,5.1,8.92
150030089391,1,89.39,NA,NA
150030089392,2,89.39,2.61,2.36
150030089393,3,89.39,2.47,2.06
150030089401,1,89.40,3.3,4.21
150030089402,2,89.40,3.13,NA
150030089411,1,89.41,2.58,3.51
150030089421,1,89.42,4.05,3.63
150030089422,2,89.42,2.78,2.74
150030089431,1,89.43,2.58,2.84
150030089441,1,89.44,3.03,3.1
150030089442,2,89.44,3.26,4.28
150030089443,3,89.44,2.33,2.4
150030089451,1,89.45,2.65,2.95
150030089461,1,89.46,2.35,2.77
150030089462,2,89.46,1.92,2.63
150030089463,3,89.46,2.53,2.31
150030089471,1,89.47,2.63,2.04
150030089481,1,89.48,1.89,2.43
150030089482,2,89.48,2.85,2.16
150030089483,3,89.48,2.15,2.52
150030089491,1,89.49,3.19,2.74
150030089501,1,89.50,3.4,4.14
150030089511,1,89.51,3.83,4.25
150030089512,2,89.51,3.07,4.55
150030089521,1,89.52,2.37,2.15
150030089522,2,89.52,3.5,2.51
150030089523,3,89.52,2.08,2.46
150030090001,1,90,NA,2.63
150030090002,2,90,NA,2.39
150030091001,1,91,4.06,5.19
150030091002,2,91,3.59,2.93
150030091003,3,91,5.35,4.02
150030092011,1,92.01,3.56,2.23
150030092012,2,92.01,2.72,2.09
150030092013,3,92.01,3.53,1.71
150030092021,1,92.02,2.14,1.7
150030092022,2,92.02,3.29,4.18
150030092031,1,92.03,3.1,2.63
150030093011,1,93.01,6.9,2.72
150030093021,1,93.02,3.43,2.71
150030093022,2,93.02,3.56,1.22
150030093023,3,93.02,3.97,1.92
150030094011,1,94.01,3.27,1.7
150030094021,1,94.02,2.56,3.49
150030094022,2,94.02,3.05,2.05
150030094023,3,94.02,NA,2.62
150030095071,1,95.07,NA,2.38
150030095072,2,95.07,NA,NA
150030095081,1,95.08,NA,2.49
150030095091,1,95.09,NA,3.49
150030095092,2,95.09,NA,3.82
150030095101,1,95.10,NA,3.26
150030095102,2,95.10,NA,2.73
150030095111,1,95.11,NA,3.01
150030095112,2,95.11,NA,3.24
150030095121,1,95.12,NA,3.15
150030095122,2,95.12,NA,NA
150030095123,3,95.12,NA,2.93
150030096081,1,96.08,2.64,3.43
150030096082,2,96.08,3.09,3.13
150030096083,3,96.08,3.99,6.69
150030096084,4,96.08,4.13,5.2
150030096091,1,96.09,4.57,2.07
150030096092,2,96.09,4.23,NA
150030096093,3,96.09,3.47,7.51
150030096101,1,96.10,2.27,7.11
150030096102,2,96.10,4.36,3.31
150030096103,3,96.10,2.97,1.76
150030096104,4,96.10,3.44,2.63
150030096105,5,96.10,2.97,4.54
150030097041,1,97.04,3.17,4.28
150030097042,2,97.04,4.35,7.27
150030097051,1,97.05,2.4,NA
150030097052,2,97.05,3.1,3.24
150030097053,3,97.05,3.33,2.45
150030097061,1,97.06,4.37,6.31
150030097062,2,97.06,3.53,5.06
150030097063,3,97.06,4.94,2.14
150030097071,1,97.07,3.03,3.4
150030097072,2,97.07,1.34,1.87
150030097073,3,97.07,4.64,2.33
150030097074,4,97.07,4.59,4.43
150030098011,1,98.01,2.64,3.38
150030098012,2,98.01,1.9,2.12
150030098031,1,98.03,2.99,8.01
150030098032,2,98.03,5.04,1.88
150030098033,3,98.03,4.28,2.87
150030098041,1,98.04,3.34,2.62
150030098042,2,98.04,4.56,4.1
150030098043,3,98.04,3.52,4.07
150030099021,1,99.02,3.14,1.15
150030099022,2,99.02,3.66,1.95
150030099023,3,99.02,4.93,2.41
150030099024,4,99.02,3.42,3.94
150030099051,1,99.05,3.47,2.4
150030099052,2,99.05,3.13,2.69
150030099053,3,99.05,3.06,2.57
150030099061,1,99.06,2.16,1.85
150030099062,2,99.06,3.67,2.05
150030099063,3,99.06,NA,NA
150030100001,1,100,2.74,2.1
150030100002,2,100,2.16,2.22
150030100003,3,100,NA,2.77
150030101011,1,101.01,3.79,2.09
150030101012,2,101.01,3.67,1.98
150030101021,1,101.02,3.32,3.66
150030101022,2,101.02,4.14,2.9
150030101031,1,101.03,2.16,1.78
150030101032,2,101.03,4.37,3.42
150030102021,1,102.02,4.57,4.29
150030102022,2,102.02,4.08,3.82
150030102023,3,102.02,5.47,3.78
150030102024,4,102.02,4.56,3.87
150030102031,1,102.03,2.7,2.56
150030102041,1,102.04,2.84,3.34
150030102042,2,102.04,4.06,4.01
150030102051,1,102.05,2.57,2.76
150030103031,1,103.03,3.17,2.89
150030103032,2,103.03,3.98,3.37
150030103033,3,103.03,2.97,3.75
150030103051,1,103.05,3.05,6.09
150030103052,2,103.05,2.71,2.69
150030103053,3,103.05,3.28,3.22
150030103081,1,103.08,3.07,2.63
150030103082,2,103.08,2.99,5.33
150030103083,3,103.08,NA,NA
150030103091,1,103.09,2.75,4.79
150030103092,2,103.09,2.71,3.43
150030103093,3,103.09,2.82,1.36
150030103101,1,103.10,2.79,4.02
150030103102,2,103.10,2.12,2.92
150030105031,1,105.03,NA,NA
150030105032,2,105.03,3.74,3.97
150030105051,1,105.05,3.75,3.61
150030105052,2,105.05,2.99,3.67
150030105053,3,105.05,2.78,4.18
150030105071,1,105.07,2.35,3.31
150030105072,2,105.07,2.36,5.7
150030105073,3,105.07,2.36,3.23
150030105074,4,105.07,3.35,NA
150030105081,1,105.08,4.2,2.44
150030105082,2,105.08,2.78,1.84
150030105091,1,105.09,1.87,2.45
150030105092,2,105.09,3.38,2.62
150030105101,1,105.10,2.52,3.96
150030105102,2,105.10,3.44,3.57
150030106011,1,106.01,3.48,2.22
150030106012,2,106.01,3.41,1.7
150030106013,3,106.01,3.66,4.55
150030106021,1,106.02,2.88,2.15
150030106022,2,106.02,2.45,3.6
150030106023,3,106.02,3.42,1.24
150030107011,1,107.01,2.42,2.67
150030107012,2,107.01,2.26,3.32
150030107013,3,107.01,3.26,2.29
150030107021,1,107.02,2.9,1.14
150030107022,2,107.02,3.19,4.49
150030107023,3,107.02,3.72,4.72
150030109011,1,109.01,3.01,2.22
150030109012,2,109.01,3.83,2.76
150030109031,1,109.03,2.96,2.28
150030109032,2,109.03,3.69,1.75
150030109033,3,109.03,3.61,2.49
150030109041,1,109.04,3.52,4.63
150030109042,2,109.04,2.82,4.5
150030109043,3,109.04,4.61,4.31
150030109044,4,109.04,2.42,3.48
150030109051,1,109.05,2.32,2.06
150030109052,2,109.05,2.81,3.38
150030110001,1,110,3.01,3.62
150030110002,2,110,3.17,2.49
150030111031,1,111.03,2.77,2.41
150030111032,2,111.03,2.51,2.38
150030111041,1,111.04,3.3,3.67
150030111042,2,111.04,2.82,1.97
150030111043,3,111.04,3.23,3.92
150030111044,4,111.04,2.66,4.36
150030111051,1,111.05,3.3,2.76
150030111052,2,111.05,2.64,1.95
150030111053,3,111.05,1.67,1.69
150030111061,1,111.06,4.19,4.53
150030111062,2,111.06,2.83,3.63
150030111063,3,111.06,3.28,2.72
150030111064,4,111.06,3.14,1.73
150030111065,5,111.06,2.89,3.37
150030112011,1,112.01,2.84,3.35
150030112012,2,112.01,2.37,NA
150030112013,3,112.01,2.84,2.34
150030112014,4,112.01,2.16,4.3
150030112015,5,112.01,3.11,3
150030112021,1,112.02,3.51,2.25
150030112022,2,112.02,2.24,2.47
150030113001,1,113,4.72,2.32
150030113002,2,113,3.24,2.87
150030113003,3,113,5.04,5.04
150030114011,1,114.01,NA,2.01
150030114012,2,114.01,NA,2.16
150030115001,1,115,3.12,3.56
150030115002,2,115,2.99,2.56
150030115003,3,115,3.82,2.58
150030115004,4,115,3.36,3.14
150030115005,5,115,NA,1.82
150030116001,1,116,2.6,2.55
150030116002,2,116,2.53,2.58
150039400031,1,9400.03,3.69,2.72
150039400041,1,9400.04,4.7,2.23
